country_name,Mean CAB/GDP%,SD CAB/GDP%,Min CAB/GDP%,Max CAB/GDP%,Start Date,End Date,N
estonia,-4.3477667275,5.91045685959041,-18.79305,6.5714069,1993-Q1,2024-Q4,128
finland,0.43789589885,3.51785610219422,-7.2580031,9.127473,1975-Q1,2024-Q4,200
france,0.0323497164160001,1.19020795601719,-3.910105,3.755707,1975-Q1,2024-Q4,200
georgia,-10.9009016709067,4.91544298588922,-29.073502,-3.76288033021456,1997-Q1,2020-Q1,93
germany,2.96576063138241,3.34994457261128,-2.7851326,9.8918,1971-Q1,2024-Q4,216
greece,-5.01639447,3.8058384324605,-16.15637,2.880544,1976-Q1,2024-Q4,196
guatemala,-3.61093906135717,2.96923381172251,-13.072056,5.7473973,1977-Q1,2020-Q1,173
hong kong  china,6.5081266958217,4.43602547571297,-1.64962346560641,17.995251,1999-Q1,2020-Q1,85
hungary,-3.21019461397872,4.85530529992302,-17.736059,5.3383479,1989-Q4,2024-Q4,141
iceland,-3.18756622551314,6.99124069850948,-30.08616,10.20229,1976-Q1,2024-Q4,196
india,-1.27916112194615,1.60972826740531,-6.331948,9.0911693,1960-Q1,2024-Q4,260
indonesia,-0.79521670805304,3.12519766386309,-13.3792385458946,8.1629179418087,1981-Q1,2024-Q4,176
ireland,0.547502895417757,9.80941923775601,-58.29581,25.32199,1990-Q1,2024-Q4,140
israel,-1.21780480600943,5.55311505722257,-16.826794,16.256758,1972-Q1,2024-Q4,212
italy,0.00434099451818186,2.00098733703395,-5.1666974,5.027513,1970-Q1,2024-Q4,220
japan,2.53142998280829,1.37605819230006,-1.8270288,5.295128,1977-Q1,2025-Q1,193
kazakhstan,-1.55560294908716,4.89101908258023,-11.775603,11.858095527475,1995-Q1,2020-Q1,101
korea  rep.,0.971576948622449,4.30178450220097,-13.06067,15.22481,1976-Q1,2024-Q4,196
kyrgyz republic,-9.7214632112393,8.92427749163697,-34.8277875020903,16.0609945522099,1993-Q1,2021-Q4,116
latvia,-3.74451593273437,8.04819569795364,-26.70344,24.636431,1993-Q1,2024-Q4,128
lithuania,-3.785744243125,5.97505942512988,-18.54825,7.661669,1993-Q1,2024-Q4,128
luxembourg,7.6691045525,7.29882057391491,-14.45235,37.35165,1995-Q1,2024-Q4,120
macedonia  fyr,-2.10454938527273,3.00941966064656,-10.903168,5.1043735,2011-Q1,2024-Q3,55
malaysia,9.13479052830932,5.52056038535546,1.6529966889237,19.652065,1999-Q1,2020-Q1,85
malta,2.43282130751807,8.86727584409679,-13.831517,22.177538,2004-Q1,2024-Q3,83
mauritius,-4.42642545151366,5.03144813087917,-16.1750153218094,8.13116529999999,2000-Q1,2020-Q1,81
mexico,-1.58708503804891,2.22490811148931,-8.6406752,5.913221,1979-Q1,2024-Q4,184
moldova,-9.02553070893416,5.52136427436181,-23.110968,2.3392311,1995-Q1,2020-Q1,101
montenegro,-17.6166738297872,5.16425109438516,-44.982009,-11.087827,2013-Q1,2024-Q3,47
netherlands,4.9866351038125,3.45999144431799,-8.345653,14.725,1977-Q1,2024-Q4,192
new zealand,-4.51426230288888,2.99387028317131,-16.022226,0.6925208,1980-Q1,2024-Q4,180
norway,6.02675986932304,8.39317181910714,-16.7059391736984,38.38301,1975-Q1,2024-Q4,200
paraguay,0.30346257296937,3.35846507169381,-6.5068078,8.9489346,2000-Q1,2020-Q4,84
peru,-3.37500802518514,3.35895088912417,-11.379611,6.3489063,1979-Q1,2020-Q1,165
philippines,-0.972876349085735,4.03673839767133,-11.83403,7.0614289,1977-Q2,2020-Q1,165
poland,-2.5633092565,3.31619102136297,-8.7195718,17.707357,1985-Q1,2024-Q4,160
portugal,-4.01687345410938,5.31761099228513,-21.409748,4.6817764,1977-Q1,2024-Q4,192
romania,-5.97868830652206,3.71130051480122,-21.532955,2.8696988,1991-Q1,2024-Q4,136
russian federation,5.65200976972973,4.45285461576394,-2.4486981,19.539102,1994-Q1,2021-Q3,111
saudi arabia,10.1154020272368,11.9712980460021,-13.67795,36.61634,2006-Q1,2024-Q4,76
slovak republic,-3.9040125103125,4.20099514322423,-11.890001,11.873868,1993-Q1,2024-Q4,128
slovenia,1.08249861725,3.84579740754324,-10.35208,9.245972,1995-Q1,2024-Q4,120
south africa,-1.02555221707692,3.23454809654537,-10.59947,11.21415,1960-Q1,2024-Q4,260
spain,-1.6156580778445,3.17998039374517,-9.992474,3.806514,1975-Q1,2024-Q4,200
sri lanka,-4.76792172324084,4.56102770632078,-21.080304,4.9056438,1977-Q1,2021-Q1,177
sweden,2.469717681465,3.55885233364722,-5.5059317,9.448767,1975-Q1,2024-Q4,200
switzerland,5.71375439317917,3.87845709003091,-12.11504,14.543,1972-Q1,2024-Q4,212
taiwan,7.98833136830457,4.80964378265653,-5.1875814,22.562031,1981-Q1,2019-Q4,156
thailand,-0.262242836971661,6.40331870751063,-12.560901,13.725333,1976-Q1,2019-Q4,176
turkey,-2.35247878124342,2.89848379977771,-9.338149,6.4476348,1987-Q1,2024-Q4,152
united kingdom,-1.55397375919231,1.90225292126392,-6.879816,3.79897,1960-Q1,2024-Q4,260
united states,-1.73055908546154,1.84622201262084,-6.299612,1.214152,1960-Q1,2024-Q4,260
uruguay,-1.27219719818765,2.09961905761911,-8.08239249999999,3.7967218,1999-Q1,2020-Q1,85
venezuela  rb,4.90570002188334,6.18631574029875,-6.65206983685493,24.8826682567596,1994-Q1,2014-Q4,84
vietnam,-1.30161743027225,6.50979798680447,-38.29929,8.75951497727338,1996-Q1,2021-Q4,104
