Country,Date,pct_ca_eurostat,Adjustment
Bulgaria,2002-Q1,-5.2,None
Bulgaria,2002-Q2,-2.9,None
Bulgaria,2002-Q3,8.5,None
Bulgaria,2002-Q4,-10.8,None
Bulgaria,2003-Q1,-7.9,None
Bulgaria,2003-Q2,-9.8,None
Bulgaria,2003-Q3,6.4,None
Bulgaria,2003-Q4,-11.3,None
Bulgaria,2004-Q1,-10.7,None
Bulgaria,2004-Q2,-8.3,None
Bulgaria,2004-Q3,7.3,None
Bulgaria,2004-Q4,-15,None
Bulgaria,2005-Q1,-11.8,None
Bulgaria,2005-Q2,-10.6,None
Bulgaria,2005-Q3,-3.7,None
Bulgaria,2005-Q4,-19,None
Bulgaria,2006-Q1,-22.1,None
Bulgaria,2006-Q2,-13.7,None
Bulgaria,2006-Q3,-7.1,None
Bulgaria,2006-Q4,-25.9,None
Bulgaria,2007-Q1,-29.7,None
Bulgaria,2007-Q2,-22.2,None
Bulgaria,2007-Q3,-14.4,None
Bulgaria,2007-Q4,-30.1,None
Bulgaria,2008-Q1,-25.3,None
Bulgaria,2008-Q2,-26.2,None
Bulgaria,2008-Q3,-10.4,None
Bulgaria,2008-Q4,-27.4,None
Bulgaria,2009-Q1,-16.1,None
Bulgaria,2009-Q2,-12.8,None
Bulgaria,2009-Q3,2.5,None
Bulgaria,2009-Q4,-8.8,None
Bulgaria,2010-Q1,-5.5,None
Bulgaria,2010-Q2,-3.6,None
Bulgaria,2010-Q3,12.1,None
Bulgaria,2010-Q4,-10.6,None
Bulgaria,2011-Q1,-0.7,None
Bulgaria,2011-Q2,0.5,None
Bulgaria,2011-Q3,8.2,None
Bulgaria,2011-Q4,-7.2,None
Bulgaria,2012-Q1,-4.8,None
Bulgaria,2012-Q2,-2.9,None
Bulgaria,2012-Q3,7.9,None
Bulgaria,2012-Q4,-4.8,None
Bulgaria,2013-Q1,-4.6,None
Bulgaria,2013-Q2,4.8,None
Bulgaria,2013-Q3,8.5,None
Bulgaria,2013-Q4,-4.3,None
Bulgaria,2014-Q1,-1.4,None
Bulgaria,2014-Q2,1.5,None
Bulgaria,2014-Q3,9.7,None
Bulgaria,2014-Q4,-2.3,None
Bulgaria,2015-Q1,-0.3,None
Bulgaria,2015-Q2,-0.9,None
Bulgaria,2015-Q3,8.4,None
Bulgaria,2015-Q4,-7.1,None
Bulgaria,2016-Q1,0,None
Bulgaria,2016-Q2,5,None
Bulgaria,2016-Q3,10.5,None
Bulgaria,2016-Q4,-3.7,None
Bulgaria,2017-Q1,0,None
Bulgaria,2017-Q2,2.3,None
Bulgaria,2017-Q3,14.6,None
Bulgaria,2017-Q4,-5,None
Bulgaria,2018-Q1,-5.5,None
Bulgaria,2018-Q2,-1.6,None
Bulgaria,2018-Q3,11,None
Bulgaria,2018-Q4,-3.2,None
Bulgaria,2019-Q1,-1.2,None
Bulgaria,2019-Q2,0.3,None
Bulgaria,2019-Q3,9.4,None
Bulgaria,2019-Q4,-2.4,None
Bulgaria,2020-Q1,1.7,None
Bulgaria,2020-Q2,3.2,None
Bulgaria,2020-Q3,0.7,None
Bulgaria,2020-Q4,-3.1,None
Bulgaria,2021-Q1,-1.5,None
Bulgaria,2021-Q2,-0.5,None
Bulgaria,2021-Q3,2.2,None
Bulgaria,2021-Q4,-4.4,None
Bulgaria,2022-Q1,-6.2,None
Bulgaria,2022-Q2,0.3,None
Bulgaria,2022-Q3,-0.3,None
Bulgaria,2022-Q4,-4.5,None
Bulgaria,2023-Q1,-1.8,None
Bulgaria,2023-Q2,3.2,None
Bulgaria,2023-Q3,1.7,None
Bulgaria,2023-Q4,0.2,None
Bulgaria,2024-Q1,0.5,None
Bulgaria,2024-Q2,-0.4,None
Bulgaria,2024-Q3,5.7,None
Czechia,1991-Q1,.,None
Czechia,1991-Q2,.,None
Czechia,1991-Q3,.,None
Czechia,1991-Q4,.,None
Czechia,1992-Q1,.,None
Czechia,1992-Q2,.,None
Czechia,1992-Q3,.,None
Czechia,1992-Q4,.,None
Czechia,1993-Q1,.,None
Czechia,1993-Q2,.,None
Czechia,1993-Q3,.,None
Czechia,1993-Q4,.,None
Czechia,1994-Q1,.,None
Czechia,1994-Q2,.,None
Czechia,1994-Q3,.,None
Czechia,1994-Q4,.,None
Czechia,1995-Q1,-1.6,None
Czechia,1995-Q2,-2.3,None
Czechia,1995-Q3,-0.6,None
Czechia,1995-Q4,-4.4,None
Czechia,1996-Q1,-4.2,None
Czechia,1996-Q2,-5.3,None
Czechia,1996-Q3,-7,None
Czechia,1996-Q4,-7.5,None
Czechia,1997-Q1,-7.3,None
Czechia,1997-Q2,-6.7,None
Czechia,1997-Q3,-4.5,None
Czechia,1997-Q4,-4.5,None
Czechia,1998-Q1,-2,None
Czechia,1998-Q2,0,None
Czechia,1998-Q3,-0.8,None
Czechia,1998-Q4,-4.6,None
Czechia,1999-Q1,-2.4,None
Czechia,1999-Q2,-1.2,None
Czechia,1999-Q3,-0.9,None
Czechia,1999-Q4,-4.4,None
Czechia,2000-Q1,-3.2,None
Czechia,2000-Q2,-3.2,None
Czechia,2000-Q3,-4,None
Czechia,2000-Q4,-6.9,None
Czechia,2001-Q1,-5.1,None
Czechia,2001-Q2,-4.8,None
Czechia,2001-Q3,-5.2,None
Czechia,2001-Q4,-4.3,None
Czechia,2002-Q1,-3.5,None
Czechia,2002-Q2,-3.7,None
Czechia,2002-Q3,-6.5,None
Czechia,2002-Q4,-6.3,None
Czechia,2003-Q1,-1.1,None
Czechia,2003-Q2,-5.3,None
Czechia,2003-Q3,-6.8,None
Czechia,2003-Q4,-8.9,None
Czechia,2004-Q1,-0.9,None
Czechia,2004-Q2,-4.2,None
Czechia,2004-Q3,-6.6,None
Czechia,2004-Q4,-2.9,None
Czechia,2005-Q1,1.2,None
Czechia,2005-Q2,-3.6,None
Czechia,2005-Q3,-3,None
Czechia,2005-Q4,-2.6,None
Czechia,2006-Q1,3.3,None
Czechia,2006-Q2,-4.1,None
Czechia,2006-Q3,-3.2,None
Czechia,2006-Q4,-5.1,None
Czechia,2007-Q1,1.6,None
Czechia,2007-Q2,-6.4,None
Czechia,2007-Q3,-7.3,None
Czechia,2007-Q4,-5.7,None
Czechia,2008-Q1,3.1,None
Czechia,2008-Q2,-4.7,None
Czechia,2008-Q3,-1.5,None
Czechia,2008-Q4,-3.9,None
Czechia,2009-Q1,1.3,None
Czechia,2009-Q2,-4.9,None
Czechia,2009-Q3,-3.5,None
Czechia,2009-Q4,-1.6,None
Czechia,2010-Q1,2.9,None
Czechia,2010-Q2,-2.5,None
Czechia,2010-Q3,-10.4,None
Czechia,2010-Q4,-3.4,None
Czechia,2011-Q1,3.7,None
Czechia,2011-Q2,-8,None
Czechia,2011-Q3,-2.4,None
Czechia,2011-Q4,-1.2,None
Czechia,2012-Q1,2.6,None
Czechia,2012-Q2,-0.5,None
Czechia,2012-Q3,-4.8,None
Czechia,2012-Q4,-3.2,None
Czechia,2013-Q1,1.7,None
Czechia,2013-Q2,-0.4,None
Czechia,2013-Q3,-2.7,None
Czechia,2013-Q4,-0.5,None
Czechia,2014-Q1,8.1,None
Czechia,2014-Q2,-3.4,None
Czechia,2014-Q3,-3.4,None
Czechia,2014-Q4,0.2,None
Czechia,2015-Q1,8.9,None
Czechia,2015-Q2,-3.9,None
Czechia,2015-Q3,-3.9,None
Czechia,2015-Q4,1.4,None
Czechia,2016-Q1,10.8,None
Czechia,2016-Q2,-0.7,None
Czechia,2016-Q3,-1.3,None
Czechia,2016-Q4,-1,None
Czechia,2017-Q1,9.2,None
Czechia,2017-Q2,-0.2,None
Czechia,2017-Q3,-2.3,None
Czechia,2017-Q4,0.4,None
Czechia,2018-Q1,4.6,None
Czechia,2018-Q2,0.2,None
Czechia,2018-Q3,-4.3,None
Czechia,2018-Q4,1.3,None
Czechia,2019-Q1,3.7,None
Czechia,2019-Q2,2.3,None
Czechia,2019-Q3,-3.3,None
Czechia,2019-Q4,-0.9,None
Czechia,2020-Q1,4.9,None
Czechia,2020-Q2,-0.9,None
Czechia,2020-Q3,4.6,None
Czechia,2020-Q4,-1.4,None
Czechia,2021-Q1,2.7,None
Czechia,2021-Q2,-0.7,None
Czechia,2021-Q3,-7,None
Czechia,2021-Q4,-2.6,None
Czechia,2022-Q1,1.1,None
Czechia,2022-Q2,-3.5,None
Czechia,2022-Q3,-12.2,None
Czechia,2022-Q4,-3.5,None
Czechia,2023-Q1,2,None
Czechia,2023-Q2,-1.1,None
Czechia,2023-Q3,-0.1,None
Czechia,2023-Q4,0.5,None
Czechia,2024-Q1,5.4,None
Czechia,2024-Q2,-0.4,None
Czechia,2024-Q3,-0.5,None
Denmark,1991-Q1,.,None
Denmark,1991-Q2,.,None
Denmark,1991-Q3,.,None
Denmark,1991-Q4,.,None
Denmark,1992-Q1,.,None
Denmark,1992-Q2,.,None
Denmark,1992-Q3,.,None
Denmark,1992-Q4,.,None
Denmark,1993-Q1,.,None
Denmark,1993-Q2,.,None
Denmark,1993-Q3,.,None
Denmark,1993-Q4,.,None
Denmark,1994-Q1,.,None
Denmark,1994-Q2,.,None
Denmark,1994-Q3,.,None
Denmark,1994-Q4,.,None
Denmark,1995-Q1,.,None
Denmark,1995-Q2,.,None
Denmark,1995-Q3,.,None
Denmark,1995-Q4,.,None
Denmark,1996-Q1,.,None
Denmark,1996-Q2,.,None
Denmark,1996-Q3,.,None
Denmark,1996-Q4,.,None
Denmark,1997-Q1,.,None
Denmark,1997-Q2,.,None
Denmark,1997-Q3,.,None
Denmark,1997-Q4,.,None
Denmark,1998-Q1,.,None
Denmark,1998-Q2,.,None
Denmark,1998-Q3,.,None
Denmark,1998-Q4,.,None
Denmark,1999-Q1,.,None
Denmark,1999-Q2,.,None
Denmark,1999-Q3,.,None
Denmark,1999-Q4,.,None
Denmark,2000-Q1,.,None
Denmark,2000-Q2,.,None
Denmark,2000-Q3,.,None
Denmark,2000-Q4,.,None
Denmark,2001-Q1,.,None
Denmark,2001-Q2,.,None
Denmark,2001-Q3,.,None
Denmark,2001-Q4,.,None
Denmark,2002-Q1,.,None
Denmark,2002-Q2,.,None
Denmark,2002-Q3,.,None
Denmark,2002-Q4,.,None
Denmark,2003-Q1,.,None
Denmark,2003-Q2,.,None
Denmark,2003-Q3,.,None
Denmark,2003-Q4,.,None
Denmark,2004-Q1,.,None
Denmark,2004-Q2,.,None
Denmark,2004-Q3,.,None
Denmark,2004-Q4,.,None
Denmark,2005-Q1,1.5,None
Denmark,2005-Q2,4.7,None
Denmark,2005-Q3,4.9,None
Denmark,2005-Q4,4.9,None
Denmark,2006-Q1,2.4,None
Denmark,2006-Q2,3.2,None
Denmark,2006-Q3,4.7,None
Denmark,2006-Q4,2.4,None
Denmark,2007-Q1,-2.6,None
Denmark,2007-Q2,1.8,None
Denmark,2007-Q3,2.1,None
Denmark,2007-Q4,3.5,None
Denmark,2008-Q1,-0.5,None
Denmark,2008-Q2,3.8,None
Denmark,2008-Q3,4.3,None
Denmark,2008-Q4,3.6,None
Denmark,2009-Q1,1.1,None
Denmark,2009-Q2,4,None
Denmark,2009-Q3,3.1,None
Denmark,2009-Q4,5.9,None
Denmark,2010-Q1,3.4,None
Denmark,2010-Q2,6.1,None
Denmark,2010-Q3,7.5,None
Denmark,2010-Q4,8.5,None
Denmark,2011-Q1,5.4,None
Denmark,2011-Q2,5.9,None
Denmark,2011-Q3,6.5,None
Denmark,2011-Q4,7.6,None
Denmark,2012-Q1,2.2,None
Denmark,2012-Q2,7.5,None
Denmark,2012-Q3,7.1,None
Denmark,2012-Q4,7.4,None
Denmark,2013-Q1,4,None
Denmark,2013-Q2,8.1,None
Denmark,2013-Q3,8,None
Denmark,2013-Q4,9.3,None
Denmark,2014-Q1,4.9,None
Denmark,2014-Q2,7.8,None
Denmark,2014-Q3,10,None
Denmark,2014-Q4,10.8,None
Denmark,2015-Q1,7.1,None
Denmark,2015-Q2,7.7,None
Denmark,2015-Q3,9.2,None
Denmark,2015-Q4,7.8,None
Denmark,2016-Q1,4.1,None
Denmark,2016-Q2,7.7,None
Denmark,2016-Q3,6.5,None
Denmark,2016-Q4,9.7,None
Denmark,2017-Q1,5.5,None
Denmark,2017-Q2,8.7,None
Denmark,2017-Q3,7.5,None
Denmark,2017-Q4,7.5,None
Denmark,2018-Q1,3.3,None
Denmark,2018-Q2,4.9,None
Denmark,2018-Q3,8.2,None
Denmark,2018-Q4,8.7,None
Denmark,2019-Q1,2.9,None
Denmark,2019-Q2,9.3,None
Denmark,2019-Q3,8.6,None
Denmark,2019-Q4,8.7,None
Denmark,2020-Q1,5.2,None
Denmark,2020-Q2,9.6,None
Denmark,2020-Q3,8.7,None
Denmark,2020-Q4,5.5,None
Denmark,2021-Q1,6.7,None
Denmark,2021-Q2,9.1,None
Denmark,2021-Q3,9.3,None
Denmark,2021-Q4,9.4,None
Denmark,2022-Q1,7.8,None
Denmark,2022-Q2,12.2,None
Denmark,2022-Q3,15.9,None
Denmark,2022-Q4,10.4,None
Denmark,2023-Q1,7.2,None
Denmark,2023-Q2,11.8,None
Denmark,2023-Q3,9.2,None
Denmark,2023-Q4,11.1,None
Denmark,2024-Q1,8.6,None
Denmark,2024-Q2,13.9,None
Denmark,2024-Q3,15.3,None
Germany,1991-Q1,0,None
Germany,1991-Q2,0,None
Germany,1991-Q3,0,None
Germany,1991-Q4,0,None
Germany,1992-Q1,0,None
Germany,1992-Q2,0,None
Germany,1992-Q3,0,None
Germany,1992-Q4,0,None
Germany,1993-Q1,0,None
Germany,1993-Q2,0,None
Germany,1993-Q3,1,None
Germany,1993-Q4,1,None
Germany,1994-Q1,0,None
Germany,1994-Q2,0,None
Germany,1994-Q3,0,None
Germany,1994-Q4,0,None
Germany,1995-Q1,-1.1,None
Germany,1995-Q2,-1.1,None
Germany,1995-Q3,-2.1,None
Germany,1995-Q4,0.2,None
Germany,1996-Q1,-0.6,None
Germany,1996-Q2,-1.1,None
Germany,1996-Q3,-1.5,None
Germany,1996-Q4,1.2,None
Germany,1997-Q1,-1.6,None
Germany,1997-Q2,-0.5,None
Germany,1997-Q3,-1.1,None
Germany,1997-Q4,1.7,None
Germany,1998-Q1,-1,None
Germany,1998-Q2,-0.4,None
Germany,1998-Q3,-1.6,None
Germany,1998-Q4,0.9,None
Germany,1999-Q1,-1.7,None
Germany,1999-Q2,-0.7,None
Germany,1999-Q3,-2.4,None
Germany,1999-Q4,0.1,None
Germany,2000-Q1,-0.7,None
Germany,2000-Q2,-1.4,None
Germany,2000-Q3,-3.3,None
Germany,2000-Q4,-0.6,None
Germany,2001-Q1,-0.8,None
Germany,2001-Q2,-1.1,None
Germany,2001-Q3,-0.9,None
Germany,2001-Q4,2.1,None
Germany,2002-Q1,1.5,None
Germany,2002-Q2,1.3,None
Germany,2002-Q3,1.7,None
Germany,2002-Q4,3.3,None
Germany,2003-Q1,1,None
Germany,2003-Q2,0.5,None
Germany,2003-Q3,0.9,None
Germany,2003-Q4,3.5,None
Germany,2004-Q1,4.4,None
Germany,2004-Q2,4.8,None
Germany,2004-Q3,3,None
Germany,2004-Q4,5.8,None
Germany,2005-Q1,4.8,None
Germany,2005-Q2,4.5,None
Germany,2005-Q3,3.6,None
Germany,2005-Q4,5.7,None
Germany,2006-Q1,5,None
Germany,2006-Q2,5,None
Germany,2006-Q3,4.4,None
Germany,2006-Q4,8.6,None
Germany,2007-Q1,6.6,None
Germany,2007-Q2,5.9,None
Germany,2007-Q3,5.6,None
Germany,2007-Q4,8.5,None
Germany,2008-Q1,6.4,None
Germany,2008-Q2,5.7,None
Germany,2008-Q3,4,None
Germany,2008-Q4,6.3,None
Germany,2009-Q1,4.5,None
Germany,2009-Q2,4.6,None
Germany,2009-Q3,5.3,None
Germany,2009-Q4,8.7,None
Germany,2010-Q1,5.4,None
Germany,2010-Q2,4.7,None
Germany,2010-Q3,4.7,None
Germany,2010-Q4,8.1,None
Germany,2011-Q1,6.1,None
Germany,2011-Q2,5,None
Germany,2011-Q3,5.6,None
Germany,2011-Q4,8.4,None
Germany,2012-Q1,6.8,None
Germany,2012-Q2,6.4,None
Germany,2012-Q3,6.7,None
Germany,2012-Q4,8.8,None
Germany,2013-Q1,5.9,None
Germany,2013-Q2,6.2,None
Germany,2013-Q3,5.7,None
Germany,2013-Q4,8.9,None
Germany,2014-Q1,6.7,None
Germany,2014-Q2,6.1,None
Germany,2014-Q3,7.2,None
Germany,2014-Q4,8.9,None
Germany,2015-Q1,7.8,None
Germany,2015-Q2,7.3,None
Germany,2015-Q3,8.2,None
Germany,2015-Q4,9.1,None
Germany,2016-Q1,9.1,None
Germany,2016-Q2,9.1,None
Germany,2016-Q3,8.1,None
Germany,2016-Q4,9.3,None
Germany,2017-Q1,8.7,None
Germany,2017-Q2,6.5,None
Germany,2017-Q3,7.9,None
Germany,2017-Q4,9.1,None
Germany,2018-Q1,9.6,None
Germany,2018-Q2,8.7,None
Germany,2018-Q3,7.2,None
Germany,2018-Q4,8.3,None
Germany,2019-Q1,8.6,None
Germany,2019-Q2,7.3,None
Germany,2019-Q3,7.4,None
Germany,2019-Q4,8.2,None
Germany,2020-Q1,6.9,None
Germany,2020-Q2,4.3,None
Germany,2020-Q3,6.4,None
Germany,2020-Q4,7.5,None
Germany,2021-Q1,8.1,None
Germany,2021-Q2,7,None
Germany,2021-Q3,6.1,None
Germany,2021-Q4,6.6,None
Germany,2022-Q1,6,None
Germany,2022-Q2,3,None
Germany,2022-Q3,3.1,None
Germany,2022-Q4,5.5,None
Germany,2023-Q1,6.1,None
Germany,2023-Q2,4.4,None
Germany,2023-Q3,5.6,None
Germany,2023-Q4,7.1,None
Germany,2024-Q1,7.2,None
Germany,2024-Q2,5.6,None
Germany,2024-Q3,5,None
Estonia,1991-Q1,.,None
Estonia,1991-Q2,.,None
Estonia,1991-Q3,.,None
Estonia,1991-Q4,.,None
Estonia,1992-Q1,.,None
Estonia,1992-Q2,.,None
Estonia,1992-Q3,.,None
Estonia,1992-Q4,.,None
Estonia,1993-Q1,.,None
Estonia,1993-Q2,.,None
Estonia,1993-Q3,.,None
Estonia,1993-Q4,.,None
Estonia,1994-Q1,.,None
Estonia,1994-Q2,.,None
Estonia,1994-Q3,.,None
Estonia,1994-Q4,.,None
Estonia,1995-Q1,-7.1,None
Estonia,1995-Q2,-4.9,None
Estonia,1995-Q3,3.9,None
Estonia,1995-Q4,-7.7,None
Estonia,1996-Q1,-9.3,None
Estonia,1996-Q2,-4.8,None
Estonia,1996-Q3,-5,None
Estonia,1996-Q4,-13.6,None
Estonia,1997-Q1,-12.3,None
Estonia,1997-Q2,-6.1,None
Estonia,1997-Q3,-9.8,None
Estonia,1997-Q4,-15.6,None
Estonia,1998-Q1,-11.5,None
Estonia,1998-Q2,-8.4,None
Estonia,1998-Q3,-7.8,None
Estonia,1998-Q4,-6.7,None
Estonia,1999-Q1,-6,None
Estonia,1999-Q2,-5.3,None
Estonia,1999-Q3,1.2,None
Estonia,1999-Q4,-7.1,None
Estonia,2000-Q1,-1.7,None
Estonia,2000-Q2,-3.3,None
Estonia,2000-Q3,-6.5,None
Estonia,2000-Q4,-9.5,None
Estonia,2001-Q1,-6.7,None
Estonia,2001-Q2,-5.2,None
Estonia,2001-Q3,-6.5,None
Estonia,2001-Q4,-9.9,None
Estonia,2002-Q1,-13.3,None
Estonia,2002-Q2,-10.1,None
Estonia,2002-Q3,-8.2,None
Estonia,2002-Q4,-12.8,None
Estonia,2003-Q1,-14.6,None
Estonia,2003-Q2,-10.3,None
Estonia,2003-Q3,-11.4,None
Estonia,2003-Q4,-15.3,None
Estonia,2004-Q1,-15.1,None
Estonia,2004-Q2,-16.2,None
Estonia,2004-Q3,-2.1,None
Estonia,2004-Q4,-14.6,None
Estonia,2005-Q1,-8.2,None
Estonia,2005-Q2,-7.3,None
Estonia,2005-Q3,-8.4,None
Estonia,2005-Q4,-10.6,None
Estonia,2006-Q1,-15.9,None
Estonia,2006-Q2,-13.3,None
Estonia,2006-Q3,-12.3,None
Estonia,2006-Q4,-18.1,None
Estonia,2007-Q1,-20.2,None
Estonia,2007-Q2,-14.7,None
Estonia,2007-Q3,-13.7,None
Estonia,2007-Q4,-11.5,None
Estonia,2008-Q1,-15.3,None
Estonia,2008-Q2,-9.2,None
Estonia,2008-Q3,-6.9,None
Estonia,2008-Q4,-3.6,None
Estonia,2009-Q1,-1.1,None
Estonia,2009-Q2,1,None
Estonia,2009-Q3,5.5,None
Estonia,2009-Q4,4.7,None
Estonia,2010-Q1,-1.1,None
Estonia,2010-Q2,0.5,None
Estonia,2010-Q3,5.5,None
Estonia,2010-Q4,1.8,None
Estonia,2011-Q1,-3.2,None
Estonia,2011-Q2,-0.4,None
Estonia,2011-Q3,4.5,None
Estonia,2011-Q4,3.8,None
Estonia,2012-Q1,-1,None
Estonia,2012-Q2,-3.7,None
Estonia,2012-Q3,-3.1,None
Estonia,2012-Q4,0.4,None
Estonia,2013-Q1,-1.3,None
Estonia,2013-Q2,0.2,None
Estonia,2013-Q3,-0.5,None
Estonia,2013-Q4,0.9,None
Estonia,2014-Q1,-3.3,None
Estonia,2014-Q2,1,None
Estonia,2014-Q3,1,None
Estonia,2014-Q4,3.2,None
Estonia,2015-Q1,-1.8,None
Estonia,2015-Q2,3.7,None
Estonia,2015-Q3,2.7,None
Estonia,2015-Q4,1,None
Estonia,2016-Q1,-2.6,None
