Country,adv,"emg
","lid
",g7,g20,adv_g20,emg_g20,ea,"emg_mi_asia
","emg_mi_europe
","emg_mi_lam
","emg_mi_n_africa
","emg_mi_africa
","lidc_asis
",lidc_lam,lidc_sub_africa,"lidc
","lidc_oil
",oil,cn
Cyprus,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,423
Czech Republic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935
Denmark,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,611
Dominica,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,321
Dominican Republic,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,243
Ecuador,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,248
Egypt,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,469
El Salvador,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,253
Equatorial Guinea,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,642
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,
Estonia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,939
Eswatini,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,644
Fiji,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819
Finland,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,172
France,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,132
Gabon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,646
"Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,648
Georgia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915
Germany,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,134
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,652
Greece,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,174
Grenada,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,328
Guatemala,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,258
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,656
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,654
Guyana,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,336
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,263
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,268
Hong Kong SAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hungary,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,944
Iceland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
India,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,534
Indonesia,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,536
Iran,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,429
Iraq,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,433
Ireland,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,178
Israel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436
Italy,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,136
Jamaica,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,343
Japan,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,158
Jordan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,439
Kazakhstan,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,916
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,826
Korea,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,542
Kosovo,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kuwait,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,443
Kyrgyz Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,917
Lao P.D.R.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,544
Latvia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,941
Lebanon,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,446
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,666
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,688
Libya,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,672
Lithuania,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,946
Luxembourg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Macao SAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,674
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,676
Malaysia,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548
Maldives,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,678
Malta,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,181
Marshall Islands,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,682
Mauritius,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684
Mexico,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,273
Micronesia,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,921
Mongolia,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948
Montenegro,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Montenegro, Rep. of",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Morocco,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,686
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,688
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,518
Namibia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728
Nauru,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,558
Netherlands,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,138
"Netherlands, The",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,278
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,692
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,694
North Macedonia,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Norway,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,142
Oman,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,449
Pakistan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,564
Palau,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Panama,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,283
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,853
Paraguay,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,288
Peru,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,293
Philippines,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566
Poland,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,964
Portugal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,182
Puerto Rico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Qatar,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,453
Romania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,968
Russia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,922
Russian Federation,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,714
Samoa,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862
San Marino,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
Saudi Arabia,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,456
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,722
Serbia,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seychelles,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,724
Singapore,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576
Slovak Republic,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Slovenia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,813
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,726
South Africa,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,199
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,
Spain,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,184
Sri Lanka,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524
St. Kitts and Nevis,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
St. Lucia,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
St. Vincent and the Grenadines,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,732
Suriname,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,366
Sweden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
Switzerland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
Taiwan Province of China,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,738
Thailand,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,742
Tonga,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866
Trinidad and Tobago,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,369
Tunisia,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,744
Turkmenistan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,925
Tuvalu,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869
Turkey,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,746
Ukraine,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,926
United Arab Emirates,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,466
United Kingdom,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,112
United States,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,111
Uruguay,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,298
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,927
Vanuatu,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846
Venezuela,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,299
Vietnam,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
West Bank and Gaza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,754
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,698
